"http://purl.org/dc/elements/1.1/title","http://purl.org/dc/elements/1.1/creator","http://purl.org/dc/elements/1.1/date","http://purl.org/dc/elements/1.1/type","http://purl.org/dc/elements/1.1/source","https://tropy.org/v1/tropy#collection","https://tropy.org/v1/tropy#box","https://tropy.org/v1/tropy#folder","http://purl.org/dc/elements/1.1/identifier","http://purl.org/dc/elements/1.1/rights",Tags,Photos,Notes
"Dokument 14","Basler Rheinschiffahrt-Aktiengesellschaft","1928-02-18","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0037.jpg;0038.jpg;0039.jpg;0040.jpg;0041.jpg;0042.jpg",""
"Dokument 15","Basler Personenschiffahrtsgesellschaft, Der Präsident","1928-02-23","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0043.jpg",""
"Dokument 16","Basler Personenschiffahrtsgesellschaft, Der Geschäftsführer","1928-02-27","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0044.jpg",""
"Dokument 17","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0045.jpg;0046.jpg",""
"Dokument 18","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0047.jpg",""
"Dokument 19","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0048.jpg;0049.jpg;0050.jpg;0051.jpg;0052.jpg",""
"Dokument 20","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0053.jpg;0054.jpg",""
"Dokument 21","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0055.jpg",""
"Dokument 22","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0056.jpg;0057.jpg;0058.jpg;0059.jpg;0060.jpg",""
"Dokument 23","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0061.jpg;0062.jpg",""
